,Price
0,844298.6881369093
1,1371981.4359604055
2,776317.4558668691
3,931381.0154884086
4,1391301.5551121389
5,726593.9977509333
6,592645.6409141807
7,690284.2354070178
8,730054.4242842805
9,967868.7916761254
10,1209077.4201709926
11,1225151.1241918944
12,557443.559244054
13,2516259.052160263
14,818242.3374784247
15,1494904.2647008775
16,968374.381557419
17,739229.7704693311
18,1214969.8854425373
19,1601557.0773047542
20,1123472.7505115191
21,1172787.2627049854
22,969427.899112272
23,1112855.6370022157
24,840291.1636850482
25,1079884.0138711473
26,961825.826585534
27,1534971.8811504003
28,434049.2847126841
29,917045.0844348245
30,724619.637640804
31,898096.03766706
32,813423.2024907293
33,954378.3311898944
34,819337.6511902767
35,1059326.1245390363
36,1928877.5048170576
37,1527723.5219127876
38,857835.9174328031
39,427824.7540251559
40,968673.2778008033
41,1231753.5050737744
42,1136249.8667909098
43,1550740.4318509488
44,1180157.8103152872
45,674475.2309509951
46,1337182.1464229445
47,1471767.2830956774
48,1820856.6616215766
49,1143989.8785397164
50,721414.755342681
51,823931.8636465988
52,1215287.8852607529
53,651732.338525296
54,1151104.7764986528
55,842953.6168987665
56,882396.025238403
57,1342819.2747859862
58,796617.7979318879
59,962649.2305597732
60,1012347.0276139816
61,532010.2125879667
62,1020071.1414443187
63,841467.5504755486
64,803075.88278163
65,546266.3666848114
66,865160.1461638084
67,1191023.0224514175
68,968374.381557419
69,974330.8288340718
70,1176343.858875878
71,568216.6264085467
72,1100165.154966923
73,691204.0147248651
74,635013.5542183681
75,1350151.216991854
76,1352931.4934312124
77,1173945.212105662
78,694039.2957685525
79,800180.1497724059
80,740127.1443217963
81,618992.5437401701
82,647998.4248233056
83,595564.6284272416
84,1184835.0350273256
85,1590220.2094884848
86,1246262.3603822752
87,1156710.9756338526
88,562866.4688778588
89,1100578.7546156037
90,821606.2578893118
91,1163559.0291216248
92,1360681.132731509
93,858521.6978566428
94,1068146.0169558832
95,1089790.9371543769
96,935087.1658555948
97,825885.3127609525
98,624120.6255151937
99,767355.034760361
100,823002.4343069881
101,1209195.7301615747
102,1220140.8985752123
103,1435394.6952052051
104,817563.3112936409
105,1093351.4700684738
106,938878.4573841428
107,1304953.014348798
108,1182451.612482299
109,928072.8911240147
110,1292055.9613850438
111,1154613.9072093323
112,1317978.646257649
113,1223350.4747519635
114,517463.5950846656
115,1495562.6233447385
116,858060.4376089133
117,1121278.5289236126
118,827464.8008490561
119,520330.73399162537
120,742155.3244697538
121,1004744.7039420574
122,1415857.224767191
123,1556251.6183316368
124,850108.0241276748
125,715156.8696210441
126,786064.9660651478
127,1023181.6573848535
128,881824.6485441455
129,1350789.7798263899
130,918448.6945275887
131,745097.2379676022
132,617666.9297944619
133,1176185.6254736406
134,999734.4783253754
135,1281462.3881309535
136,947415.6706747529
137,483116.6191298575
138,753279.6372814043
139,718181.1051455343
140,773944.0202661983
141,690152.7482830405
142,872829.1600886657
143,303327.16664891527
144,1290634.8915381695
145,1530711.8718763709
146,1205248.372334282
147,797612.4862106197
148,1290699.7032755213
149,749203.3728998711
150,1076490.5691288898
151,1320044.6786294347
152,695471.3443132922
153,510595.98148073256
154,580069.6812905543
155,1787870.3206915676
156,1141544.520937058
157,999968.0324875894
158,952813.0548385984
159,632418.9971995761
160,503951.4146323425
161,1671160.80958955
162,1048138.0790672689
163,814486.9697401429
164,1217678.2447781716
165,1023213.62613667
166,688062.1975596864
167,549475.1381510358
168,973891.2886548876
169,1697266.388021247
170,1005232.9976289689
171,807627.5037161692
172,867041.6149528709
173,1329356.8938834702
174,1510220.403702665
175,1307456.6086662542
176,651087.029020391
177,1445191.4167317715
178,827464.8008490561
179,1330630.2074469395
180,1512176.4836913834
181,1567221.9961172675
182,1291495.500280283
183,957636.4371255093
