,Price
0,558578.3800201141
1,1073104.0980123081
2,1282184.276399105
3,1410030.5925820433
4,1223431.5036064626
5,1367020.2704464062
6,896303.1802534063
7,722639.2183088355
8,712401.9603742237
9,955831.624150769
10,1416930.3182634744
11,2476980.76667203
12,1049784.6586397719
13,986635.8054035956
14,1076145.7575687906
15,760963.9042116645
16,904625.3993175244
17,1246984.4971412127
18,1279510.5787265191
19,975123.0821470218
20,816267.9773682954
21,1324938.095918345
22,1080264.6540713066
23,756704.9410821684
24,1120504.050957743
25,936178.3602567867
26,975438.4515790164
27,1511795.9330994752
28,890047.0319413783
29,434505.0793039603
30,750771.7145067104
31,775779.1132613014
32,1458111.9285904635
33,1237424.3813545932
34,506506.3240526188
35,1203581.7991200853
36,1729948.7743890595
37,1579719.1780430716
38,729735.677732758
39,1332360.7906382063
40,1013517.0808159349
41,1109883.50415578
42,1837446.6936715986
43,199028.71047978883
44,1111366.2770854144
45,1694422.620355778
46,1121102.0433428427
47,1023497.8684612475
48,2111318.61935779
49,1320084.3298045106
50,651621.5345596757
51,931996.0858743142
52,1049758.7428486655
53,1091820.5117392342
54,2251203.292438834
55,951458.6172704238
56,1257643.692465671
57,1268496.8437919605
58,776813.9995674267
59,440466.27721625497
60,558484.9583552285
61,484012.1300740782
62,763614.206049003
63,1040972.0837385008
64,1341503.695008472
65,1422459.331282363
66,1452001.6919213738
67,1489481.583978821
68,1114311.4840768462
69,925130.9776261664
70,2062405.5395665013
71,877685.3330093683
72,798065.746773199
73,2004866.6007033011
74,1003424.5963209833
75,1733203.5415854508
76,1475947.3874244122
77,1138035.3170244114
78,1040811.5705892156
79,1173945.212105662
80,1280164.1676031633
81,895815.4169103135
82,1151474.620420007
83,954445.9594843144
84,1078932.9519672839
85,917426.0190867509
86,1259467.5811606632
87,912023.2707182828
88,1724717.6114690215
89,899509.3976058747
90,1155108.1321295276
91,2090095.7060723347
92,1354779.2377636044
93,1255089.5639187212
94,702137.4578552891
95,853814.1107446547
96,1134232.4381397748
97,1417521.8723119018
98,1210280.4117577176
99,1392246.978444672
100,983860.4054896587
101,746067.010880537
102,704090.9069696428
103,920118.505444168
104,903055.0165285304
105,1059315.6734936312
106,1117073.8574664255
107,1495246.430906972
108,565077.0067871499
109,1017854.9649636969
110,1026829.2721141594
111,1842636.3380530016
112,1768000.2687349652
113,1039562.0531775354
114,990084.643837083
115,149540.26057548868
116,1388168.909116418
117,1376438.9859981318
118,805530.3073030938
119,1153670.2283162707
120,1143094.3200203928
121,868107.9210283664
122,1320365.704928005
123,929123.4339146032
124,1508418.1448416805
125,1458434.2513011568
126,1200485.138544694
127,1044504.5304238752
128,1139198.50703777
129,692172.2356397569
130,1350455.9164799664
131,1238738.0908005857
132,1377664.5188467223
133,1004885.1108060938
134,1156842.8459229027
135,808922.8376415146
136,885362.6263139523
137,446265.2601511382
138,3460097.964826012
139,815654.1140481799
140,800194.911938091
141,1634158.991106201
142,900489.3438039802
143,367725.304081346
144,687154.2137184704
